Domain,Have_IP,Have_At,URL_Length,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1
verification-mobile-nab.com,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1
,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1
microsoft@53.com,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1
,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
,0,0,1,1,0,0,0,1,1,1,1,1,1,0,1
,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
sagittariusglobal.com,0,0,2,1,0,0,0,1,1,1,1,1,1,0,1
linkedin.com,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1
,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1
,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1
genome@.gov,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
unilorin.edu.ng.com.org,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1
